record_type,fips,name,parcel_count,stratmap_vintage,prop_id_bad_rate,join_key,cad_url,cad_verification,vendor,adversarial,risk_classes,cost_est_usd
county,48157,Fort Bend,375100,202503,0.0,prop_id,,unverified,,,,6.42
county,48159,Franklin,16544,202503,0.0093,prop_id,,unverified,,,,0.28
county,48161,Freestone,23979,202505,0.0088,prop_id,,unverified,,,,0.41
county,48163,Frio,13214,202505,0.0259,prop_id,,unverified,,,,0.23
county,48165,Gaines,16580,202503,0.0031,prop_id,,unverified,,,,0.28
county,48167,Galveston,188696,202507,0.0,prop_id,,unverified,,,,3.23
county,48169,Garza,6583,202503,0.0829,prop_id,,unverified,,,,0.11
county,48171,Gillespie,32363,202503,0.0094,prop_id,,unverified,,,,0.55
county,48173,Glasscock,2988,202503,0.1295,prop_id,,unverified,,,,0.05
county,48175,Goliad,10314,202503,0.0307,prop_id,,unverified,,,,0.18
county,48177,Gonzales,20420,202505,0.0159,prop_id,,unverified,,,,0.35
county,48179,Gray,16252,202503,0.0602,prop_id,,unverified,,,,0.28
county,48181,Grayson,89350,202507,0.0017,prop_id,,unverified,,,,1.53
county,48183,Gregg,77876,202503,0.0018,prop_id,,unverified,,,,1.33
county,48185,Grimes,27711,202503,0.008,prop_id,,unverified,,,,0.47
county,48187,Guadalupe,95571,202503,0.0042,prop_id,https://services9.arcgis.com/1l4hbpt78hjlsIcl/arcgis/rest/services/GuadalupeCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,1.64
county,48189,Hale,19108,202507,0.0111,prop_id,,unverified,,,,0.33
county,48191,Hall,6353,202505,0.0044,prop_id,,unverified,,,,0.11
county,48193,Hamilton,14253,202503,0.0333,prop_id,,unverified,,,,0.24
county,48195,Hansford,5873,202505,0.0581,prop_id,,unverified,,,,0.1
county,48197,Hardeman,6960,202505,0.0106,prop_id,,unverified,,,,0.12
county,48199,Hardin,41635,202503,0.0607,prop_id,,unverified,,,,0.71
county,48201,Harris,536512,202508,0.0,prop_id,,unverified,,,harris-sharding-required,9.18
county,48203,Harrison,50997,202503,0.0062,prop_id,,unverified,,,,0.87
county,48205,Hartley,5645,202503,0.0193,prop_id,,unverified,,,,0.1
county,48207,Haskell,9397,202505,0.0432,prop_id,,unverified,,,,0.16
county,48209,Hays,117427,202503,0.0036,prop_id,,honestly_absent,not-found,REPRODUCED,no-rest,2.01
county,48211,Hemphill,4685,202505,0.0961,prop_id,,unverified,,,,0.08
county,48213,Henderson,108484,202503,0.074,prop_id,,unverified,,,,1.86
county,48215,Hidalgo,328333,202508,0.0033,prop_id,,unverified,,,,5.62
county,48217,Hill,39355,202503,0.0035,prop_id,,unverified,,,,0.67
county,48219,Hockley,17242,202503,0.0278,prop_id,,unverified,,,,0.3
