Pager usage is off.
breadth_48309_drawford	2	1	0	buildable-envelope,zoning-fact
breadth_48309_elm_mottt	2	1	0	buildable-envelope,zoning-fact
breadth_48309_hallsburg	2	1	0	buildable-envelope,zoning-fact
breadth_48309_hewtt	2	1	0	buildable-envelope,zoning-fact
breadth_48309_lorean	2	1	0	buildable-envelope,zoning-fact
breadth_48309_loren	2	1	0	buildable-envelope,zoning-fact
breadth_48309_mc_gregor	2	1	0	buildable-envelope,zoning-fact
breadth_48309_mcgrergor	2	1	0	buildable-envelope,zoning-fact
breadth_48309_moddy	2	1	0	buildable-envelope,zoning-fact
breadth_48309_mount_calm	2	1	0	buildable-envelope,zoning-fact
breadth_48309_mt_calm	2	1	0	buildable-envelope,zoning-fact
breadth_48309_risel	2	1	0	buildable-envelope,zoning-fact
breadth_48309_shadow_ridge	2	1	0	buildable-envelope,zoning-fact
breadth_48209_dripping_spr	2	1	0	buildable-envelope,zoning-fact
breadth_48309_wacxo	2	1	0	buildable-envelope,zoning-fact
breadth_48309_wco	2	1	0	buildable-envelope,zoning-fact
breadth_48309_woodaway	2	1	0	buildable-envelope,zoning-fact
breadth_48209_johnson_city	2	1	0	buildable-envelope,zoning-fact
breadth_48209_biuda	2	1	0	buildable-envelope,zoning-fact
breadth_48209_kylr	2	1	0	buildable-envelope,zoning-fact
breadth_48055_luing	2	1	0	buildable-envelope,zoning-fact
breadth_48055_bastrop	2	1	0	buildable-envelope,zoning-fact
breadth_48209_uhland_tx	2	1	0	buildable-envelope,zoning-fact
breadth_48021_cr102	1	1	0	zoning-fact
breadth_48021_cedar	1	1	0	zoning-fact
breadth_48055_lockhrt	1	1	0	zoning-fact
breadth_48209_san_marcox_tx	1	1	0	zoning-fact
breadth_48055_lcokhart	1	1	0	zoning-fact
breadth_48209_esan_marcos_tx	1	1	0	zoning-fact
breadth_48209_tsan_marcos_tx	1	1	0	zoning-fact
breadth_48021_cedar_ceek	1	1	0	zoning-fact
breadth_48209_san_marcos,	1	1	0	zoning-fact
breadth_48021_houses_only	1	1	0	zoning-fact
breadth_48209_owner_responsibilty	1	1	0	zoning-fact
breadth_48021_bastroop	1	1	0	zoning-fact
breadth_48021_smmithville_tx	1	1	0	zoning-fact
breadth_48209_dirpping_springs_tx	1	1	0	zoning-fact
breadth_48021_basttrop	1	1	0	zoning-fact
breadth_48021_empire_st	1	1	0	zoning-fact
breadth_48021_smithville_tx	1	1	0	zoning-fact
