"propId","geoId","txgioGeomBytes","bcadPolyForPropId","bcadNonPolyForPropId","bcadPolySameGeoId","successorsCoveringFootprint","successorPropIds","classification"
"19531","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"19882","R19882","300","0","0","0","0","","GONE_FROM_BCAD"
"19987","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"19990","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"19993","R19993","300","0","0","0","0","","GONE_FROM_BCAD"
"20020","R20020","300","0","0","0","0","","GONE_FROM_BCAD"
"20339","R20339","348","0","0","0","0","","GONE_FROM_BCAD"
"20391","R20391","1212","0","0","0","1","8713106","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"20461","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"20465","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"20497","R20497","1164","0","0","0","0","","GONE_FROM_BCAD"
"20505","R20505","300","0","0","0","0","","GONE_FROM_BCAD"
"20509","R20509","300","0","0","0","0","","GONE_FROM_BCAD"
"20602","R20602","396","0","0","0","0","","GONE_FROM_BCAD"
"20620","R20620","396","0","0","0","0","","GONE_FROM_BCAD"
"20704","R20704","396","0","0","0","0","","GONE_FROM_BCAD"
"20900","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"20924","","492","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"20953","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"20958","R20958","348","0","0","0","0","","GONE_FROM_BCAD"
"20961","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"21050","","492","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"21163","R21163","348","0","0","0","0","","POLYGON_UNDER_OTHER_ID_DOES_NOT_COVER"
"21262","R21262","492","0","0","0","0","","GONE_FROM_BCAD"
"21296","R21296","540","0","0","0","0","","GONE_FROM_BCAD"
"21314","R21314","654","0","0","0","0","","GONE_FROM_BCAD"
"21331","","972","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"21381","R21381","300","0","0","0","0","","GONE_FROM_BCAD"
"21383","R21383","1068","0","0","0","0","","GONE_FROM_BCAD"
"21493","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"21577","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"21645","R21645","300","0","0","0","0","","GONE_FROM_BCAD"
"21659","R21659","252","0","0","0","0","","GONE_FROM_BCAD"
"21688","","492","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"21749","R21749","492","0","0","0","0","","GONE_FROM_BCAD"
"21752","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"21905","","972","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"21907","","732","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"21953","","444","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"22100","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"22304","R22304","348","0","0","0","0","","GONE_FROM_BCAD"
"22312","R22312","348","0","0","0","0","","GONE_FROM_BCAD"
"22402","","444","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"22410","","588","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"22429","R22429","300","0","0","0","0","","GONE_FROM_BCAD"
"22507","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"22553","R22553","348","0","0","0","0","","GONE_FROM_BCAD"
"22561","R22561","348","0","0","0","0","","GONE_FROM_BCAD"
"22598","R22598","348","0","0","0","0","","GONE_FROM_BCAD"
"22823","R22823","300","0","0","0","0","","GONE_FROM_BCAD"
"22873","R22873","348","0","0","0","0","","GONE_FROM_BCAD"
"22889","R22889","348","0","0","0","0","","GONE_FROM_BCAD"
"23022","R23022","300","0","0","0","0","","GONE_FROM_BCAD"
"23100","R23100","733","0","0","0","0","","POLYGON_UNDER_OTHER_ID_DOES_NOT_COVER"
"23276","R23276","972","0","0","0","0","","GONE_FROM_BCAD"
"23295","R23295","636","0","0","0","0","","GONE_FROM_BCAD"
"23302","","444","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"23318","R23318","396","0","0","0","0","","GONE_FROM_BCAD"
"23380","","732","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"23412","R23412","1212","0","0","0","0","","GONE_FROM_BCAD"
"23467","R23467","396","0","0","0","0","","GONE_FROM_BCAD"
"23477","R23477","300","0","0","0","0","","GONE_FROM_BCAD"
"23497","R23497","396","0","0","0","0","","GONE_FROM_BCAD"
"23505","R23505","348","0","0","0","0","","GONE_FROM_BCAD"
"23534","R23534","300","0","0","0","0","","GONE_FROM_BCAD"
"23571","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"23587","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"23595","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"23724","R23724","1068","0","0","0","0","","GONE_FROM_BCAD"
"23748","R23748","924","0","0","0","12","8741822|8741819|8741813|8741824|8741823|8741821|8741814|8741815|8741817|8741816|8741818|8741820","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"23955","R23955","396","0","0","0","0","","GONE_FROM_BCAD"
"24067","","636","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"24086","R24086","396","0","0","0","0","","GONE_FROM_BCAD"
"24157","R24157","1133","0","0","0","0","","GONE_FROM_BCAD"
"24274","R24274","348","0","0","0","0","","GONE_FROM_BCAD"
"24344","R24344","396","0","0","0","0","","GONE_FROM_BCAD"
"24360","R24360","348","0","0","0","0","","GONE_FROM_BCAD"
"24546","R24546","780","0","0","0","0","","GONE_FROM_BCAD"
"24655","","732","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"24776","R24776","348","0","0","0","0","","POLYGON_UNDER_OTHER_ID_DOES_NOT_COVER"
"24896","R24896","444","0","0","0","0","","GONE_FROM_BCAD"
"25009","R25009","396","0","0","0","0","","GONE_FROM_BCAD"
"25132","R25132","300","0","0","0","0","","GONE_FROM_BCAD"
"25239","R25239","737","0","0","0","0","","GONE_FROM_BCAD"
"25265","R25265","348","0","0","0","0","","GONE_FROM_BCAD"
"25370","R25370","396","0","0","0","0","","GONE_FROM_BCAD"
"25378","R25378","396","0","0","0","0","","GONE_FROM_BCAD"
"25386","R25386","396","0","0","0","0","","GONE_FROM_BCAD"
"25387","R25387","300","0","0","0","0","","GONE_FROM_BCAD"
"25413","R25413","885","0","0","0","1","8739007","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"25436","R25436","1308","0","0","0","0","","GONE_FROM_BCAD"
"25532","R25532","1396","0","0","0","0","","GONE_FROM_BCAD"
"25535","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"25574","R25574","540","0","0","0","0","","GONE_FROM_BCAD"
"25781","R25781","876","0","0","0","0","","POLYGON_UNDER_OTHER_ID_DOES_NOT_COVER"
