id,authority
75504,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125269,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125270,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125273,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125279,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125287,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125293,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
77190,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
77321,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127672,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
87803,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
9169,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127717,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127731,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127733,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127755,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127760,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127768,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127773,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127781,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
99106,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
180051,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
181516,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
180085,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
175526,Hays County CAD roll (cad_property) for county_fips 48209 at declared tax_year 2026
125323,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125324,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125327,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125328,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
43435,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12584,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
46327,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12591,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12611,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12635,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12655,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
47183,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
45481,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
51309,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
51656,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12677,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
50483,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
51260,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53048,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53050,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
126820,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53302,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53521,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12690,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53648,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53879,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53971,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
54095,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
54136,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127044,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127182,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127200,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127202,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127206,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55842,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127238,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127242,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
56305,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127258,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
56340,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127279,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
56843,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
56861,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
57145,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
57241,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
57642,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127325,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
60020,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127330,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
54191,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55066,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127356,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
61364,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
60955,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127381,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53962,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
54101,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127515,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
61881,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
54375,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
54901,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
59942,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
57760,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
53589,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
56733,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
71742,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
60832,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
57644,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
57364,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
65471,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55742,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
66030,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
64220,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
66324,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
54832,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55108,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
73631,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
65280,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
64064,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
